ime_avtomobila,znamka,leto_prve_registracije,prevozeni_kilometri,vrsta_motorja,vrsta_menjalnika,velikost_motorja,moc_motorja,cena
Honda CR-V 4WD 1.6 i-DTEC Elegance Avt.,Honda,2016,60800,diesel motor,avtomatski menjalnik,"['1', '5', '9', '7']",118,19500

Honda CR-V 4WD 1.6 i-DTEC Lifestyle - vleèna kljuka,Honda,2015,78500,diesel motor,ročni menjalnik,"['1', '5', '9', '7']",118,18390

Honda Civic 1.6 16V,Honda,1990,330000,bencinski motor,ročni menjalnik,"['1', '5', '9', '0']",96,2500

Honda Civic 1.6 16v,Honda,1990,194000,bencinski motor,ročni menjalnik,velikost motorja ni znana,"96 kW / 131 KM
",5000

Honda Civic 1.6 DTEC Sport,Honda,2015,146000,diesel motor,ročni menjalnik,"['1', '5', '9', '7']",88,9600

Honda Civic Hatchback 1.4i,Honda,1999,280000,bencinski motor,ročni menjalnik,"['1', '3', '9', '6']",55,750

Honda Civic Tourer 1.8 Sport,Honda,2015,83000,bencinski motor,ročni menjalnik,"['1', '7', '9', '8']",104,12490

Honda Jazz 1.2-SAMO 79.000KM-1LASTNIK-SPORT-KOT NOVA-,Honda,2005,79334,bencinski motor,ročni menjalnik,"['1', '2', '4', '6']",57,3650

Honda Jazz 1.4i LS,Honda,2003,183000,bencinski motor,ročni menjalnik,"['1', '3', '3', '9']",61,1600

Hyundai Galloper 2.5 TDI,Hyundai,1999,249000,diesel motor,ročni menjalnik,"['2', '4', '7', '6']",73,2500

Hyundai Galloper 2.5 TDI,Hyundai,1998,180566,diesel motor,ročni menjalnik,"['2', '4', '7', '6']",73,4650

Hyundai Galloper Wagon 2.5 TDI,Hyundai,2000,192595,diesel motor,ročni menjalnik,"['2', '4', '7', '6']",73,1450

Hyundai Getz 1.3 GL,Hyundai,2004,119000,bencinski motor,ročni menjalnik,"['1', '3', '4', '1']",60,650

Hyundai Santa Fe 4WD 2.2 CRDi Limited Slo  poreklo,Hyundai,2011,160500,diesel motor,ročni menjalnik,"['2', '1', '9', '9']",145,8950

Hyundai Tucson 1.6 CRDi Style winter paket,Hyundai,2019,44500,diesel motor,avtomatski menjalnik,"['1', '5', '9', '8']",100,24000

Hyundai Tucson 4WD 2.0 CRDi Comfort,Hyundai,2008,262000,diesel motor,ročni menjalnik,"['1', '9', '9', '1']",100,3400

Hyundai i10 1.1 Style,Hyundai,2011,76000,bencinski motor,ročni menjalnik,"['1', '0', '8', '6']",51,3790

Hyundai i20 1.25 Comfort,Hyundai,2015,56000,bencinski motor,ročni menjalnik,"['1', '2', '4', '8']",62,7700

Hyundai i20 1.4 CRDi HP Dynamic,Hyundai,2011,190000,diesel motor,ročni menjalnik,"['1', '3', '9', '6']",66,3450

Hyundai i30 1.4 CVVT Style,Hyundai,2015,131250,bencinski motor,ročni menjalnik,"['1', '3', '6', '8']",74,7000

Hyundai i30 1.4 Clasic. 1 lastnik. samo 96.000,Hyundai,2010,96000,bencinski motor,ročni menjalnik,"['1', '3', '9', '6']",80,4100

Hyundai i30 1.6 CRDi HP GLS Style + ODLIÈEN+NAKUP BREZ POLOGA,Hyundai,2007,228544,diesel motor,ročni menjalnik,"['1', '5', '8', '2']",85,2890

Hyundai ix35 2.0. SLOVENSKI + DODATNA PLATIÈA IN PNEVMATIKE,Hyundai,2010,79000,bencinski motor,ročni menjalnik,"['1', '9', '9', '8']",120,7990

Jaguar S-Type 3.0 V6,Jaguar,2004,400000,bencinski motor,avtomatski menjalnik,"['2', '9', '9', '5']",175,320

Jaguar XE 2.0D-AUT-R SPORT-PERFORMANCE-106.000KM-VRHUNSKI,Jaguar,2016,106000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '9']",132,19850

Jeep Grand Cherokee 3.0 CRD Overland Avt.,Jeep,2010,190000,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",160,10000

Jeep Grand Cherokee 3.0 CRD Summit Avt.,Jeep,2017,113239,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",184,14990

Kia Carens 2.0 CRDi EX,Kia,2008,225000,diesel motor,ročni menjalnik,"['1', '9', '9', '1']",103,2100

Kia CeeD 1.4 CVVT EX Style,Kia,2014,64000,bencinski motor,ročni menjalnik,"['1', '3', '9', '6']",73,6990

Kia CeeD 1.4 CVVT LX + NAKUP BREZ POLOGA+OPR.VELIK SERVIS,Kia,2008,191278,bencinski motor,ročni menjalnik,"['1', '3', '9', '6']",80,2390

Kia CeeD 1.4 CVVT LX Fun,Kia,2016,51000,bencinski motor,ročni menjalnik,"['1', '3', '6', '8']",74,9250

Kia CeeD 1.6 CRDi EX 1 LASTNICA-SLOVENSKA,Kia,2012,209732,diesel motor,ročni menjalnik,"['1', '5', '8', '2']",94,4999

Kia CeeD 1.6 CRDi EX Style,Kia,2013,93990,diesel motor,ročni menjalnik,"['1', '5', '8', '2']",94,7950

Kia CeeD SW 1.6 CRDi EX Maxx,Kia,2013,95000,diesel motor,ročni menjalnik,"['1', '5', '8', '2']",94,8900

Kia Rio 1.4 CRDi EX Style + TOP OPREMA + 1 LASTNIK + TOP,Kia,2012,162478,diesel motor,ročni menjalnik,"['1', '3', '9', '6']",66,4699

Kia Rio 1.4 CRDi LED+NAVI.+KAMERA+TEMPOMAT+16 COL,Kia,2016,120000,diesel motor,ročni menjalnik,"['1', '3', '9', '6']",66,37800

Kia Sorento 2.5i CRDi EX,Kia,2004,204000,diesel motor,ročni menjalnik,"['2', '4', '9', '7']",103,2300

Kia Sorento 2.5i CRDi EX Comfort,Kia,2004,298000,diesel motor,ročni menjalnik,"['2', '4', '9', '7']",103,2490

Kia Sorento 4WD 2.2 CRDi EX Sport,Kia,2010,85000,diesel motor,ročni menjalnik,"['2', '1', '9', '9']",145,12850

Kia Sportage 2WD 1.6 Urban ISG,Kia,2013,178000,bencinski motor,ročni menjalnik,"['1', '5', '9', '1']",99,9800

Kia Sportage AWD 2.0 CRDi Style Plus,Kia,2012,121987,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,10300

Kia Sportage II 2.0i MRDi,Kia,2000,95000,bencinski motor,ročni menjalnik,"['1', '9', '9', '8']",94,1000

Land Rover Freelander 2 2.2 eD4 E ODLIÈNO OHRANJEN..HITRI KREDIT,Land,2010,244800,diesel motor,ročni menjalnik,"['2', '1', '7', '9']",118,6880

Land Rover Range Rover Velar 2.0 TD R-Dynamic S Avt.,Land,2018,53000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '9']",132,51000

Lexus GS 430 Avt.,Lexus,2005,245000,bencinski motor,avtomatski menjalnik,"['4', '2', '9', '3']",208,6900

Lexus IS 220d ,Lexus,2010,141000,diesel motor,ročni menjalnik,"['2', '2', '3', '1']",130,8300

Mazda Mazda2 1.4i,Mazda,2008,249800,bencinski motor,ročni menjalnik,"['1', '3', '4', '9']",55,1880

Mazda Mazda3 1 LAS. SLO. 81700 KM. ODLICNA OBROKE - BREZ POLOGA,Mazda,2014,81700,bencinski motor,ročni menjalnik,"['1', '4', '9', '6']",74,9299

Mazda Mazda3 Sport 2.3i MPS,Mazda,2007,54000,bencinski motor,ročni menjalnik,"['2', '2', '6', '1']",191,9950

Mazda Mazda5 ,Mazda,2005,245000,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",81,2050

Mazda Mazda5 ,Mazda,2008,214000,diesel motor,ročni menjalnik,"['2', '0']",110,2000

Mazda Mazda5 CD110 TX,Mazda,2007,300000,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",81,1370

Mazda Mazda5 CD143 GT,Mazda,2007,183500,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",105,2700

Mazda Mazda6 1.8i-88.000KM-1 LASTNIK-SLO-PDC-KLIMA-POLOG 1600,Mazda,2011,88000,bencinski motor,ročni menjalnik,"['1', '7', '9', '8']",88,6950

Mazda Mazda6 2.0 D-KLIMA-SLO VOZILO-4xEL.STEKLA-MONA MENJAVA,Mazda,2008,229000,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",89,1999

Mazda Mazda6 CD140 GTA-XSENON-LED LUÈI-SLOVENSKI,Mazda,2009,229000,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",103,4690

Mazda Mazda6 CD140 TE Navi,Mazda,2010,275000,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",103,3900

Mazda Mazda6 CD150 Attraction,Mazda,2015,163000,diesel motor,ročni menjalnik,"['2', '1', '9', '1']",110,12000

Mazda Mazda6 Sport 1.8i CE  SLO 158000KM KREDIT VINJETA,Mazda,2004,158000,bencinski motor,ročni menjalnik,"['1', '7', '9', '8']",88,1799

Mazda Mazda6 Sport Combi CD129 MIRAI SLO,Mazda,2011,207000,diesel motor,ročni menjalnik,"['2', '1', '8', '3']",95,5900

Mercedes-Benz 190 ,Mercedes-Benz,1989,183000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",53,8600

Mercedes-Benz A-Razred A 180 CDI AMG Line,Mercedes-Benz,2013,207000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",80,11700

Mercedes-Benz A-Razred A 180 CDI Avantgarde,Mercedes-Benz,2009,152500,diesel motor,ročni menjalnik,"['1', '9', '9', '1']",80,5200

Mercedes-Benz A-Razred A 180 CDI F1-SPORT PAKET-NAVI-KAMERA,Mercedes-Benz,2015,152000,diesel motor,avtomatski menjalnik,"['1', '4', '6', '1']",80,13799

Mercedes-Benz B-Razred B 160 Style KAMERA LED ALU 1.LASTNIK,Mercedes-Benz,2020,10223,bencinski motor,ročni menjalnik,"['1', '3', '3', '2']",80,19490

Mercedes-Benz B-Razred B 180 CDI,Mercedes-Benz,2014,118323,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",80,11700

Mercedes-Benz B-Razred B 180 CDI BlueEFFICIENCY,Mercedes-Benz,2012,194000,diesel motor,ročni menjalnik,"['1', '7', '9', '6']",80,9500

Mercedes-Benz B-Razred B 180 CDI BlueEFFICIENCY,Mercedes-Benz,2012,155000,diesel motor,ročni menjalnik,"['1', '7', '9', '6']",80,8750

Mercedes-Benz B-Razred B 200 d AMG Line,Mercedes-Benz,2017,71777,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",100,19999

Mercedes-Benz C-Razred ,Mercedes-Benz,2021,245000,bencinski motor,ročni menjalnik,"['1', '9', '9', '5']",93,990

Mercedes-Benz C-Razred ,Mercedes-Benz,2001,245000,bencinski motor,ročni menjalnik,"['2', '0', '0', '0']",93,990

Mercedes-Benz C-Razred 180 CDI-AMG LINE-167.000km-LEASING ZA TUJCE-LED,Mercedes-Benz,2015,167000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",85,15950

Mercedes-Benz C-Razred 200 CDI-165.000km-LEASING ZA TUJCE-2 LASTNIK-SLO-V,Mercedes-Benz,2011,165000,diesel motor,ročni menjalnik,"['2', '1', '4', '3']",100,8950

Mercedes-Benz C-Razred C 180 AMG Line,Mercedes-Benz,2018,44000,bencinski motor,avtomatski menjalnik,"['1', '5', '9', '5']",115,27000

Mercedes-Benz C-Razred C 200 Kompressor Avantgarde,Mercedes-Benz,2009,115000,bencinski motor,ročni menjalnik,"['1', '7', '9', '6']",135,7900

Mercedes-Benz C-Razred C 220 BlueTEC,Mercedes-Benz,2014,100000,diesel motor,ročni menjalnik,"['2', '1', '4', '3']",125,17990

Mercedes-Benz C-Razred C 220 BlueTEC AMG Line,Mercedes-Benz,2014,78350,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",125,22500

Mercedes-Benz C-Razred C 220 CDI AVANTGARDE,Mercedes-Benz,2007,375000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '8']",125,5800

Mercedes-Benz C-Razred C 220 CDI FULL LED SPORT ,Mercedes-Benz,2014,180000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",125,15800

Mercedes-Benz C-Razred C 220 D-FUL LED-VELIKA NAVI-2XAC-17ALU-GR.SE-1LAST,Mercedes-Benz,2015,174000,diesel motor,ročni menjalnik,"['2', '1', '4', '3']",125,13990

Mercedes-Benz C-Razred C 220 d 4MATIC T Avt. LED BLIND SPOT NAVI EL.PRTLJ,Mercedes-Benz,2016,164330,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",125,16990

Mercedes-Benz C-Razred C 220 d T AMG Line-1.LASNIK-ALU-PDC-NAVI-KOT NOV,Mercedes-Benz,2016,142000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",125,21990

Mercedes-Benz C-Razred C 220 d T Avantgarde,Mercedes-Benz,2015,159975,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",125,15890

Mercedes-Benz C-Razred C 250 d AMG Line Avt. AIRMATIC,Mercedes-Benz,2015,141000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",150,22500

Mercedes-Benz C-Razred C 270 CDI Classic,Mercedes-Benz,2004,360000,diesel motor,ročni menjalnik,"['2', '6', '8', '5']",125,2400

Mercedes-Benz C-Razred C 350 e T Avantgarde Avt. Plug-in hibrid,Mercedes-Benz,2015,175000,hibridni pogon,avtomatski menjalnik,"['1', '9', '9', '1']",155,10111

Mercedes-Benz C-Razred C 63 AMG Avt. MILLTEK 600KM 900Nm,Mercedes-Benz,2017,29500,bencinski motor,avtomatski menjalnik,"['3', '9', '8', '2']",442,53700

Mercedes-Benz C-Razred C BlueEFFICIENCY 200 CDI T-ALU-LED-KROM-BIXENON,Mercedes-Benz,2010,288862,diesel motor,ročni menjalnik,"['2', '1', '4', '3']",100,7190

Mercedes-Benz C-Razred C Coupe 220 d 4MATIC Avt.,Mercedes-Benz,2018,90000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",125,39990

Mercedes-Benz CL-Razred CL-500-63 AMG-NIGHT V.-KAMERA-MASAA-HLAJENJE,Mercedes-Benz,2007,194000,bencinski motor,avtomatski menjalnik,"['5', '4', '6', '1']",285,17990

Mercedes-Benz CLA-Razred CLA 200 d LED KAMERA AMG - ALU NAVI COUPE,Mercedes-Benz,2018,134891,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",100,22850

Mercedes-Benz CLC-Razred CLC 200 CDI,Mercedes-Benz,2010,217500,diesel motor,ročni menjalnik,"['2', '1', '4', '8']",90,6460

Mercedes-Benz CLK-Razred ,Mercedes-Benz,2002,321000,diesel motor,ročni menjalnik,"['2', '6', '8', '5']",125,4450

Mercedes-Benz CLS-Razred 350 CDI AUT. °LED°NAVI°F1 PRESTAVE°,Mercedes-Benz,2011,227070,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",195,18490

Mercedes-Benz E-Razred 124 OLDTAJMER,Mercedes-Benz,1991,380000,diesel motor,ročni menjalnik,velikost motorja ni znana,"55 kW / 75 KM
",1900

Mercedes-Benz E-Razred 220d AMG-MULTIBEAM-STR.OKNO-LIZING ZA TUJCE-F1,Mercedes-Benz,2017,138000,diesel motor,avtomatski menjalnik,"['1', '9', '5', '0']",143,27650

Mercedes-Benz E-Razred E 200 CDI Classic,Mercedes-Benz,2004,28172,diesel motor,ročni menjalnik,"['2', '1', '4', '8']",90,4000

Mercedes-Benz E-Razred E 200 CDI Elegance,Mercedes-Benz,2014,385000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",100,13400

Mercedes-Benz E-Razred E 220 d 4MATIC T AMG Line Avt. Asistence Kam Virtu,Mercedes-Benz,2017,73784,diesel motor,avtomatski menjalnik,"['1', '9', '5', '0']",143,35990

Mercedes-Benz E-Razred E 220 d AMG LINE-360°-WIDESCREEN-MEMORY-KLJUKA,Mercedes-Benz,2020,24170,diesel motor,avtomatski menjalnik,"['1', '9', '5', '0']",143,46490

Mercedes-Benz E-Razred E 220 d Avantgarde Avt. 1.LASTNIK. PANORAMA,Mercedes-Benz,2016,126000,diesel motor,avtomatski menjalnik,"['1', '9', '5', '0']",143,24700

Mercedes-Benz E-Razred E 220 d T AMG Line Avt. LED NAVI WIDESCREEN KAMERA,Mercedes-Benz,2019,70300,diesel motor,avtomatski menjalnik,"['1', '9', '5', '0']",143,37777

Mercedes-Benz E-Razred E 220 d T Avantgarde Avt.,Mercedes-Benz,2016,139000,diesel motor,avtomatski menjalnik,"['1', '9', '5', '0']",143,24390

Mercedes-Benz E-Razred E 270 CDI Avantgarde,Mercedes-Benz,2000,187740,diesel motor,ročni menjalnik,"['2', '6', '8', '5']",125,5000

Mercedes-Benz E-Razred E 270 CDI Classic,Mercedes-Benz,2006,330900,diesel motor,ročni menjalnik,"['2', '6', '8', '5']",130,2300

Mercedes-Benz E-Razred E 300 T TD Avantgarde Avt.,Mercedes-Benz,1997,302000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '6']",130,5000

Mercedes-Benz E-Razred E 350 d AMG Line Avt.,Mercedes-Benz,2017,56221,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",190,39999

Mercedes-Benz E-Razred E 350 d T AMG WIDE PANORAMA ZRACNO,Mercedes-Benz,2017,140000,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",190,31800

Mercedes-Benz E-Razred E BlueEFFICIENCY 220 CDI T Avantgarde,Mercedes-Benz,2012,410000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",125,8500

Mercedes-Benz E-Razred E Coupé 350d AMG Line Avt.,Mercedes-Benz,2020,14000,diesel motor,avtomatski menjalnik,"['2', '9', '2', '5']",210,30990

Mercedes-Benz E-Razred E220 CDI T Avantgarde XENON NAVI,Mercedes-Benz,2011,212010,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",125,9490

Mercedes-Benz E-Razred W 124,Mercedes-Benz,1993,300000,diesel motor,ročni menjalnik,"['2', '5', '0', '0']",70,3300

Mercedes-Benz GLC coupe GLC  AMG  250 d 4MATIC Avt-1 LASTNIK-SLO-KOT NOV,Mercedes-Benz,2017,119000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",150,42590

Mercedes-Benz GLC coupe GLC Coupe 220 d 4MATIC AMG Line Avt.,Mercedes-Benz,2020,21000,diesel motor,avtomatski menjalnik,"['1', '9', '5', '0']",143,58200

Mercedes-Benz GLC coupe GLC Coupe 250 d 4MATIC AMG Line Avt.,Mercedes-Benz,2018,52000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",150,46500

Mercedes-Benz GLC coupe GLC Coupe 350 d 4MATIC AMG Line Avt.+ILS+ZRAÈNO V.,Mercedes-Benz,2017,117000,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",190,40888

Mercedes-Benz GLC coupe GLC Coupé 220 d 4MATIC AMG Line Avt.,Mercedes-Benz,2020,8433,diesel motor,avtomatski menjalnik,"['1', '9', '5', '0']",143,7000

Mercedes-Benz GLC-Razred GLC 220 d 4MATIC Avt.,Mercedes-Benz,2018,33000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",125,37900

Mercedes-Benz GLE coupe 350 d 4MATIC Avt.-AMG LINE-1.LASTNIK-RADAR,Mercedes-Benz,2016,94852,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",190,49990

Mercedes-Benz GLE-Razred BURM-HUD-AMG-PAN,Mercedes-Benz,2020,9500,hibridni pogon,avtomatski menjalnik,"['2', '9', '9', '9']",291,89000

Mercedes-Benz GLE-Razred GLE 350 d 4MATIC Avt.,Mercedes-Benz,2018,29163,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",190,54900

Mercedes-Benz ML-Razred ,Mercedes-Benz,2003,295000,bencinski motor,avtomatski menjalnik,"['3', '2', '0', '0']",163,2300

Mercedes-Benz ML-Razred ML 280 CDI Avt.,Mercedes-Benz,2007,400000,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",140,7999

Mercedes-Benz S-Razred S 350 Avt.-XENON-KEYLESS-SIBE-DVD-NAVI-PARK-USNJE-,Mercedes-Benz,2006,249000,bencinski motor,avtomatski menjalnik,"['3', '4', '9', '8']",200,6890

Mercedes-Benz S-Razred S 350 d Avt. AMG,Mercedes-Benz,2017,34500,diesel motor,avtomatski menjalnik,"['2', '9', '8', '7']",190,58900

Mercedes-Benz SL-Razred SL 500 Avt.-LORINSORALU-KEY LESS-ACC-PARK-2XAC-MAT,Mercedes-Benz,2003,186000,bencinski motor,avtomatski menjalnik,"['4', '9', '6', '6']",225,12990

Mercedes-Benz SLK-Razred SLK 200 Kompressor,Mercedes-Benz,2001,310000,bencinski motor,ročni menjalnik,"['1', '9', '9', '8']",120,4000

Mercedes-Benz SLK-Razred SLK 200 Kompressor,Mercedes-Benz,2005,218000,bencinski motor,ročni menjalnik,"['1', '7', '9', '5']",120,9250

Mercedes-Benz V-Razred 220 CDI AVANTGARDE-LED-NAVI-PARK-USNJE-7 SEDEZ-SLO,Mercedes-Benz,2018,109000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",120,35490

Mercedes-Benz Vaneo Family 1.7 CDI,Mercedes-Benz,2002,205000,diesel motor,avtomatski menjalnik,"['1', '6', '8', '9']",67,1650

Mercedes-Benz Viano 2.2CDI,Mercedes-Benz,2008,160000,diesel motor,avtomatski menjalnik,"['2', '1', '9', '8']",110,9300

Mercedes-Benz Vito Tourer 119 BlueTEC BlueEFFICIENCY Pro kompaktni Avt.,Mercedes-Benz,2015,148000,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",140,21600

Mini - S Avt.-29.000km-PANORAMA-LED-HEAD UP-KEYLESS-NAVI-,Mini,2018,29110,bencinski motor,avtomatski menjalnik,"['1', '9', '9', '8']",141,24244

Mini Coupe Mini Cooper SD AVTOMATSKA KLIMA,Mini,2011,190000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,7700

Mitsubishi Outlander 2.0 DID Intense+,Mitsubishi,2009,370000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",103,3790

Mitsubishi Outlander 4WD 2.2 DI-D Avt.,Mitsubishi,2013,173847,diesel motor,avtomatski menjalnik,"['2', '2', '6', '8']",110,12700

Mitsubishi Outlander PLUG IN HYBRID- 4WD 2.0 Avt. -PHEV,Mitsubishi,2016,96000,hibridni pogon,avtomatski menjalnik,"['1', '9', '9', '8']",89,24500

Mitsubishi Pajero ,Mitsubishi,1993,300000,diesel motor,ročni menjalnik,velikost motorja ni znana,"76 kW / 103 KM
",1100

Mitsubishi Pajero 2.5 GLX TD,Mitsubishi,1999,410000,diesel motor,ročni menjalnik,"['2', '4', '7', '7']",73,2900

Mitsubishi Space Star 1.2 Intense. BI-XENON.TEMPOMAT.LED-DNEVNE -LUÈI.,Mitsubishi,2017,19927,bencinski motor,ročni menjalnik,"['1', '1', '9', '3']",59,7900

Nissan Murano 3.5 V6 Avt. ,Nissan,2008,182734,bencinski motor,avtomatski menjalnik,"['3', '4', '9', '8']",172,3999

Nissan Navara ,Nissan,2009,156000,diesel motor,ročni menjalnik,velikost motorja ni znana,"126 kW / 171 KM
",9600

Nissan Navara ,Nissan,2007,390000,diesel motor,ročni menjalnik,"['2', '4', '9', '8']",125,6666

Nissan Note 1.2-1 LASTNIK-SLOVENSKI-ODLIÈEN-KOT NOV,Nissan,2014,110125,bencinski motor,ročni menjalnik,"['1', '1', '9', '8']",59,6190

Nissan Note 1.4 16V ,Nissan,2007,137000,bencinski motor,ročni menjalnik,"['1', '3', '8', '6']",65,2800

Nissan Note 1.4 16V lepo ohranjen,Nissan,2008,220000,bencinski motor,ročni menjalnik,"['1', '3', '8', '6']",65,1990

Nissan Pathfinder 2.5 dCi SE,Nissan,2010,162000,diesel motor,avtomatski menjalnik,"['2', '4', '8', '8']",140,11000

Nissan Qashqai 1.2 DIG-T Acenta Connect,Nissan,2017,50230,bencinski motor,ročni menjalnik,"['1', '1', '9', '7']",85,14000

Nissan Qashqai 1.6 dCi 4X4,Nissan,2012,149333,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",96,9500

Nissan Terrano R20-E5,Nissan,2001,315931,diesel motor,ročni menjalnik,"['2', '6', '6', '4']",92,2900

Nissan X-Trail 2.2 dCi Elegance,Nissan,2005,225700,diesel motor,ročni menjalnik,"['2', '1', '8', '4']",100,2500

Opel Antara 2.2 CDTI Enjoy Avt.,Opel,2013,210000,diesel motor,avtomatski menjalnik,"['2', '2', '3', '1']",120,4990

Opel Astra 1.4 Turbo Cosmo,Opel,2011,124755,bencinski motor,ročni menjalnik,"['1', '3', '6', '4']",103,6800

Opel Astra 1.4 Turbo Cosmo,Opel,2014,121000,bencinski motor,ročni menjalnik,"['1', '3', '6', '2']",103,6950

Opel Astra 1.4 Turbo Innovation,Opel,2016,52200,bencinski motor,ročni menjalnik,"['1', '3', '9', '9']",92,9800

Opel Astra 1.6 16V Enjoy,Opel,2008,129500,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",85,2990

Opel Astra 1.6 CDTI +LED+GRETJE VOLANA+NAVI+PDC+R.KAMERA+,Opel,2017,125433,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",100,11998

Opel Astra 1.6 CDTI 110 CH ,Opel,2019,49570,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",81,6400

Opel Astra 1.7 DTI,Opel,2005,251712,diesel motor,ročni menjalnik,"['1', '6', '8', '6']",74,1800

Opel Astra 1.7 diesel,Opel,2007,193510,diesel motor,ročni menjalnik,"['1', '6', '8', '6']",74,1850

Opel Astra Caravan 1.7 DTI,Opel,2001,289000,diesel motor,ročni menjalnik,"['1', '6', '8', '6']",55,799

Opel Astra Caravan 2.0 DTI Comfort,Opel,2003,260767,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",74,400

Opel Astra Caravan Classic II 1.6 16V,Opel,2004,173014,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",74,1550

Opel Astra Classic II 1.7 CDTi,Opel,2005,249000,diesel motor,ročni menjalnik,"['1', '6', '8', '6']",74,1800

Opel Astra GTC 1.4 Turbo Sport,Opel,2012,126000,bencinski motor,ročni menjalnik,"['1', '3', '6', '2']",103,7290

Opel Astra Karavan 1.9 CDTI Enjoy,Opel,2005,292000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",88,1180

Opel Astra Sports Tourer 1.4 Enjoy,Opel,2016,78522,bencinski motor,ročni menjalnik,"['1', '3', '9', '8']",74,9500

Opel Astra Sports Tourer 1.6 CDTI Selection,Opel,2016,136000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",70,8200

Opel Astra Sports Tourer 1.6 CDTI-SAMO 94.000KM-TEMPOMAT-PDC-,Opel,2015,94743,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",81,7990

Opel Astra TwinTop 1.6 Enjoy Cabrio BREZ POLOGA,Opel,2008,187902,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",85,5790

Opel Cascada 2.0 CDTI Cosmo NAVIGACIJA.2 X PARK SENZOR.UGODNO,Opel,2014,106200,diesel motor,ročni menjalnik,"['1', '9', '5', '6']",121,13600

Opel Corsa ,Opel,2008,146600,bencinski motor,ročni menjalnik,"['1', '3', '6', '4']",66,2400

Opel Corsa ,Opel,2013,42000,bencinski motor,ročni menjalnik,"['1', '2', '2', '9']",63,5700

Opel Corsa ,Opel,2006,190000,bencinski motor,ročni menjalnik,"['1', '2', '2', '9']",59,900

Opel Corsa 1.2 16V-KLIMA-5 VRAT-,Opel,2005,174100,bencinski motor,ročni menjalnik,"['1', '2', '2', '9']",59,1499

